plant_type,disease_name,severity,confidence,symptoms,treatment,prevention,affected_area_estimate
Grape,Powdery mildew,medium,0.88,"White powdery coating on leaves, flower buds, and stems, leaf distortion, fruit cracking","Spray with sulfur-based fungicide or neem oil weekly. Remove affected leaves. Prune to improve air circulation.","Ensure good air circulation. Avoid overhead watering. Apply preventative spray from bud break. Remove infected leaves."
Grape,Downy mildew,high,0.89,"Yellow patches on upper leaves, white/gray growth on underside, leaves turn brown and drop","Apply metalaxyl or copper-based fungicide. Remove infected leaves. Improve air circulation. Reduce humidity.","Space vines for airflow. Avoid overhead watering. Apply preventative spray. Remove plant debris. Rotate cover crops."
Strawberry,Leaf scorch,medium,0.83,"Reddish-purple lesions on leaves, leaves dry and appear scorched, premature defoliation","Remove infected leaves. Apply fungicide if severe (azoxystrobin). Improve air circulation. Water at soil level.","Space plants properly. Mulch between plants. Water at soil level only. Remove runners to reduce density. Rotate beds."
Strawberry,Gray mold (Botrytis),high,0.91,"Gray fuzzy mold on fruit and flowers, fruit rot, flower spotting, mushy berries","Remove affected fruit and flowers immediately. Apply fungicide (fenhexamid, pyrimethanil). Improve air circulation.","Space plants properly. Avoid overhead watering. Remove old mulch. Thin foliage. Harvest regularly. Remove plant debris."
Rice,Blast disease,critical,0.94,"Dark brown spots with light gray centers on leaves, elongated diamond-shaped lesions, neck and panicle rot","Apply fungicide (azoxystrobin, triazole) immediately. Remove infected plants. Ensure proper drainage and nutrient balance.","Plant resistant varieties. Avoid excess nitrogen. Ensure proper water management. Control intermediate host weeds. Rotate crops."
Wheat,Stripe rust,high,0.85,"Yellow/orange pustules in parallel stripes on leaves, leaf yellowing, early senescence","Apply fungicide (triazole, strobilurin). Remove infected leaves if feasible. Thin plants for air circulation.","Plant resistant varieties. Avoid overhead watering. Control volunteer wheat. Rotate crops. Apply preventative spray."
Wheat,Septoria tritici blotch,high,0.87,"Brown lesions with dark borders and pycnidia (black dots) on leaves and stems, leaf death","Apply fungicide (azoxystrobin, chlorothalonil). Remove infected leaves. Improve air circulation. Avoid overhead watering.","Plant resistant varieties. Remove crop debris thoroughly. Rotate crops (2-year minimum). Avoid overhead watering."
Carrot,Alternaria leaf spot,medium,0.81,"Small brown circular spots with concentric rings on leaves, stem necrosis","Remove infected leaves. Apply fungicide (mancozeb, azoxystrobin). Improve air circulation. Space plants properly.","Space plants for airflow. Water at soil level. Mulch soil. Remove plant debris. Rotate crops (3-year minimum)."
Carrot,Cercospora leaf spot,medium,0.79,"Small gray-brown spots with reddish-purple borders on leaves, premature defoliation","Remove infected leaves. Apply fungicide if severe (mancozeb). Improve air circulation. Water at soil level.","Space plants properly. Water at soil level only. Remove lower leaves. Mulch soil. Rotate crops annually."
Onion,Downy mildew,high,0.86,"White fungal growth on leaves, yellowing, leaf death, stunted growth","Remove infected leaves. Apply metalaxyl or mancozeb immediately. Improve air circulation. Reduce watering.","Space plants properly. Avoid overhead watering. Ensure good drainage. Apply preventative spray. Rotate crops."
Onion,Pink root,medium,0.80,"Roots turn from white to pink to reddish-brown, roots rot, stunted growth, yellowing","Remove infected plants. Improve soil drainage and aeration. Plant in well-draining soil with good organic matter.","Use resistant varieties when available. Improve drainage. Avoid planting in infested soil. Rotate crops (3-4 years)."
Broccoli,Clubroot,critical,0.88,"Roots become enlarged and distorted, yellowing and wilting of leaves, stunted growth, plant collapse","Remove infected plants. Raise soil pH to 7.2+. Improve drainage. Use resistant varieties. Do not compost infected plants.","Raise soil pH. Improve drainage. Use resistant varieties. Plant certified seedlings. Rotate crops (4-7 years minimum)."
Broccoli,Downy mildew,medium,0.82,"Yellow patches on upper leaves, white fungal growth on underside, leaf collapse","Remove infected leaves. Apply mancozeb or azoxystrobin. Improve air circulation. Space plants properly.","Space plants for airflow. Water at soil level. Improve air circulation. Remove plant debris. Rotate crops."
Cabbage,Bacterial leaf spot,high,0.84,"Small angular brown spots with yellow halos on leaves, spotting on stems","Remove infected outer leaves. Apply copper-based fungicide. Avoid overhead watering. Improve air circulation.","Use disease-free seeds. Avoid overhead watering. Sanitize tools. Rotate crops (2-year minimum). Control flea beetles."
Pumpkin,Powdery mildew,medium,0.86,"White powdery coating on leaves and stems, leaf yellowing and drying, fruit quality decline","Spray with neem oil or sulfur-based fungicide. Remove affected leaves. Prune to improve air circulation.","Space plants widely. Avoid overhead watering. Improve air circulation. Apply preventative spray. Remove infected leaves."
Watermelon,Fusarium wilt,critical,0.90,"Yellowing and wilting of lower leaves, browning of vascular system, plant death","Remove and destroy infected plants. Sanitize soil and tools. Plant resistant varieties only. No effective fungicide.","Plant resistant varieties. Use certified seeds. Do not plant in contaminated soil. Rotate crops (4+ years). Sanitize tools."
Zucchini,Powdery mildew,medium,0.85,"White powdery coating on leaves, leaf yellowing, stunted fruit growth, reduced yield","Spray with neem oil or sulfur-based fungicide. Remove heavily affected leaves. Prune for air circulation.","Space plants widely. Improve air circulation. Water at soil level. Apply preventative spray. Remove infected leaves."
Spinach,Downy mildew,high,0.88,"Yellow patches on upper leaves, white fungal growth on underside, leaf collapse and rot","Apply mancozeb or azoxystrobin. Remove infected leaves. Improve air circulation. Space plants properly.","Space plants for airflow. Avoid overhead watering. Ensure good drainage. Remove plant debris. Rotate crops."
Pea,Powdery mildew,medium,0.83,"White powdery coating on leaves and pods, leaf distortion, pod spotting","Spray with neem oil or sulfur-based fungicide. Remove affected leaves. Improve air circulation.","Space plants for airflow. Avoid overhead watering. Apply preventative spray. Remove infected leaves. Rotate crops."
Radish,Alternaria leaf spot,low,0.76,"Small brown spots with concentric rings on leaves, minimal yield impact","Remove infected leaves if severe. Apply fungicide only if widespread. Improve air circulation.","Space plants properly. Water at soil level. Improve air circulation. Remove plant debris. Rotate crops."
Sunflower,Sclerotinia wilt,critical,0.89,"Stem rot and wilting, white fungal growth inside stems, head rot and seed loss","Remove infected plants immediately. Do not compost. Improve drainage. Avoid overhead watering. Use fungicide seed treatment.","Improve drainage. Do not plant in wet areas. Rotate crops (4+ years). Use fungicide seed treatments. Avoid overhead watering."
Sunflower,Rust,medium,0.82,"Reddish-brown pustules on leaf underside, yellow patches on upper leaves, defoliation","Apply fungicide (triazole, strobilurin) if severe. Remove infected leaves. Improve air circulation.","Plant resistant varieties. Avoid overhead watering. Remove plant debris. Rotate crops (2-year minimum). Control volunteer sunflowers."
Eggplant,Verticillium wilt,critical,0.87,"Yellowing and wilting of lower leaves on one side, browning of vascular system, plant collapse","Remove and destroy infected plants. Sanitize soil. Plant resistant varieties. No effective chemical control.","Plant resistant varieties. Use certified seedlings. Do not plant in contaminated soil. Rotate crops (4+ years). Sanitize tools."
Eggplant,Phomopsis fruit rot,high,0.84,"Black circular sunken lesions on fruit, white mycelial growth, fruit rot","Remove infected fruit immediately. Improve air circulation. Reduce watering frequency. Space plants widely.","Space plants for good airflow. Avoid overhead watering. Remove fruit touching ground. Rotate crops. Remove plant debris."
Chili,Anthracnose,high,0.89,"Reddish-brown circular spots on fruit and leaves, pink spore masses in wet conditions, fruit rot","Remove infected fruit and leaves. Apply copper-based fungicide. Improve air circulation. Avoid overhead watering.","Space plants for airflow. Water at soil level. Remove plant debris. Rotate crops (2-year minimum). Use certified seeds."
Chili,Bacterial leaf spot,medium,0.81,"Small angular brown spots with yellow halos on leaves and fruit, defoliation","Remove infected leaves. Apply copper-based fungicide. Avoid overhead watering. Improve air circulation.","Use disease-free seeds. Avoid overhead watering. Space plants properly. Sanitize tools. Rotate crops (2-year minimum)."
Corn,Northern corn leaf blight,high,0.86,"Long narrow lesions on leaves, gray-green water-soaked appearance, leaf death","Apply fungicide (triazole, strobilurin) if severe. Remove infected leaves. Improve air circulation.","Plant resistant hybrids. Rotate crops (2-year minimum). Remove corn residue in fall. Space plants for airflow."
Barley,Scald,medium,0.80,"Blotched or streaked appearance on leaves, whitish lesions, minimal impact","Apply fungicide if severe. Improve air circulation. Remove infected leaves. Space plants for airflow.","Plant resistant varieties. Remove plant debris. Rotate crops. Avoid overhead watering. Control grasses near field."
Cotton,Leaf curl virus,critical,0.85,"Severe leaf curling, yellowing, stunted growth, reduced yield, plant wilting","Remove infected plants immediately. Control whitefly vectors with insecticide. Plant resistant varieties.","Control whitefly vectors. Plant resistant varieties. Use certified seeds. Remove plant debris. Rotate crops (2-year minimum)."
Soybean,Frogeye leaf spot,high,0.83,"Circular lesions with tan centers and dark brown borders on leaves, lesions merge and cause defoliation","Apply fungicide (azoxystrobin, thiram). Remove infected leaves. Improve air circulation.","Plant resistant varieties. Rotate crops (2-year minimum). Remove soybean residue. Use fungicide seed treatments."
